תאריך,מספר בדיקות מצטבר,מספר חולים במצב קשה,מספר חולים מאושפזים,מספר חולים מונשמים,מספר חולים מצטבר,מספר נפטרים מצטבר,נפטרים ליום
26/01/2020,107,0,0,0,4,0,0
27/01/2020,108,0,0,0,4,0,0
28/01/2020,108,0,0,0,4,0,0
29/01/2020,111,0,0,0,4,0,0
30/01/2020,115,0,0,0,4,0,0
31/01/2020,115,0,0,0,4,0,0
01/02/2020,115,0,0,0,4,0,0
02/02/2020,122,0,0,0,4,0,0
03/02/2020,129,0,0,0,4,0,0
04/02/2020,135,0,0,0,4,0,0
05/02/2020,135,0,0,0,4,0,0
06/02/2020,135,0,0,0,4,0,0
07/02/2020,135,0,0,0,4,0,0
08/02/2020,135,0,0,0,4,0,0
09/02/2020,175,0,0,0,4,0,0
10/02/2020,203,0,0,0,4,0,0
11/02/2020,253,0,0,0,4,0,0
12/02/2020,288,0,0,0,4,0,0
13/02/2020,323,0,0,0,4,0,0
14/02/2020,353,0,0,0,4,0,0
15/02/2020,356,0,0,0,4,0,0
16/02/2020,379,0,0,0,4,0,0
17/02/2020,420,0,0,0,4,0,0
18/02/2020,466,0,0,0,4,0,0
19/02/2020,500,0,0,0,4,0,0
20/02/2020,529,0,0,0,4,0,0
21/02/2020,566,0,2,0,5,0,0
22/02/2020,579,0,2,0,5,0,0
23/02/2020,635,0,2,0,5,0,0
24/02/2020,711,0,2,0,6,0,0
25/02/2020,819,0,2,0,6,0,0
26/02/2020,927,0,2,0,6,0,0
27/02/2020,"1,098",0,3,0,7,0,0
28/02/2020,"1,217",0,5,0,10,0,0
29/02/2020,"1,376",0,5,0,10,0,0
01/03/2020,"1,564",0,7,0,11,0,0
02/03/2020,"1,735",0,11,0,16,0,0
03/03/2020,"1,970",0,10,0,19,0,0
04/03/2020,"2,099",0,11,0,19,0,0
05/03/2020,"2,273",1,13,0,21,0,0
06/03/2020,"2,548",2,16,1,25,0,0
07/03/2020,"2,884",3,20,2,29,0,0
08/03/2020,"3,305",5,26,4,38,0,0
09/03/2020,"3,823",6,39,5,42,0,0
10/03/2020,"4,343",6,59,5,75,0,0
11/03/2020,"4,745",7,81,6,95,0,0
12/03/2020,"5,353",7,103,6,116,0,0
13/03/2020,"6,050",7,123,6,152,0,0
14/03/2020,"6,664",6,162,4,181,0,0
15/03/2020,"7,848",9,202,6,219,0,0
16/03/2020,"9,193",11,221,7,292,0,0
17/03/2020,"10,840",12,256,7,386,0,0
18/03/2020,"12,948",16,306,7,504,0,0
19/03/2020,"15,022",21,295,12,639,0,0
20/03/2020,"17,343",23,289,12,807,1,1
21/03/2020,"19,451",27,277,15,"1,017",1,0
22/03/2020,"22,801",37,324,22,"1,271",1,0
23/03/2020,"26,426",42,352,24,"1,623",1,0
24/03/2020,"31,215",45,395,26,"2,046",4,3
25/03/2020,"37,151",49,413,28,"2,471",5,1
26/03/2020,"43,655",54,464,31,"2,991",10,5
27/03/2020,"49,407",65,515,37,"3,425",12,2
28/03/2020,"55,146",69,513,41,"3,905",13,1
29/03/2020,"62,721",78,543,50,"4,437",16,3
30/03/2020,"69,821",87,619,54,"4,983",17,1
31/03/2020,"77,810",98,668,64,"5,721",21,4
01/04/2020,"86,820",111,769,72,"6,418",28,7
